,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
18827,Largo from Xerxes,https://open.spotify.com/embed/track/5FNxBADhe8SM9Aejtw1AfR,spotify:track:5FNxBADhe8SM9Aejtw1AfR,43,George Frideric Handel,0.0791,0.1,0.0559,0.468,0.911,82.174,-19.084,0.0401,0.103,4
18829,Encercler,https://open.spotify.com/embed/track/1d30t4z4DuJelbpdfI63Dy,spotify:track:1d30t4z4DuJelbpdfI63Dy,48,Les Rêveries,0.309,0.109,0.148,0.982,0.934,93.719,-23.537,0.0294,0.0997,4
18835,Step By Step,https://open.spotify.com/embed/track/443TEc8oLlWuKBRVQm3DDC,spotify:track:443TEc8oLlWuKBRVQm3DDC,46,Alaya Tashka,0.1,0.051,0.0381,0.953,0.84,71.281,-26.779,0.0327,0.106,4
18843,June 2nd,https://open.spotify.com/embed/track/6ljElurA01VdrVynPgZn4k,spotify:track:6ljElurA01VdrVynPgZn4k,34,Carl Winther Trio,0.556,0.178,0.0701,0.919,0.863,81.036,-18.438,0.0395,0.252,4
18844,Quiet Music,https://open.spotify.com/embed/track/1sCis6j4dVbehU1niL7BWd,spotify:track:1sCis6j4dVbehU1niL7BWd,23,Nico Muhly,0.33,0.00538,0.112,0.993,0.91,70.971,-19.842,0.117,0.0715,4
18847,Any Other Name,https://open.spotify.com/embed/track/33B1XmfncHqnfkrYZIcHbD,spotify:track:33B1XmfncHqnfkrYZIcHbD,56,Thomas Newman,0.304,0.0116,0.0364,0.983,0.963,77.84,-33.19,0.0337,0.104,4
18860,"Comptine d’un autre été, l'après-Midi - Arr. for Violin, Harp & Orchestra by David Le Page",https://open.spotify.com/embed/track/21aBR4dwK4fQeJBngmnAM6,spotify:track:21aBR4dwK4fQeJBngmnAM6,35,Orchestra of the Swan,0.319,0.051,0.129,0.81,0.842,92.939,-21.963,0.0378,0.122,4
18865,I'm Yours,https://open.spotify.com/embed/track/6R5e0W5LUy23G7wEAaCcyJ,spotify:track:6R5e0W5LUy23G7wEAaCcyJ,39,Dennis Lookman,0.689,0.215,0.508,0.968,0.895,140.038,-12.055,0.41,0.0764,4
18868,Psycho,https://open.spotify.com/embed/track/1FPyPPlSlLn8Qu0RsNkwTt,spotify:track:1FPyPPlSlLn8Qu0RsNkwTt,1,Yoon Il Sang,0.284,0.467,0.0273,0.909,0.954,118.614,-17.353,0.0885,0.0953,4
18870,Green Noise - Forest,https://open.spotify.com/embed/track/19Koi74AG7snbeuSmT0spg,spotify:track:19Koi74AG7snbeuSmT0spg,45,Exodar,0.241,0.655,0.256,0.791,0.878,89.113,-25.35,0.102,0.111,4
18872,417 Hz Calma (Nature),https://open.spotify.com/embed/track/5RpPrA45N1wKZRUjVR2NJk,spotify:track:5RpPrA45N1wKZRUjVR2NJk,44,Solfeggio Dreams,0.204,0.185,0.0587,0.791,0.915,95.267,-27.376,0.0843,0.111,4
18874,Sunset by the River - Piano Version,https://open.spotify.com/embed/track/3IjGjpi8PzoRmCXYv8xPLx,spotify:track:3IjGjpi8PzoRmCXYv8xPLx,47,Dennis Korn,0.257,0.105,0.0446,0.982,0.933,59.849,-21.159,0.0386,0.105,4
18880,vi (almost equal to) ix,https://open.spotify.com/embed/track/5JZq6B2jtxGVvmausM9Xed,spotify:track:5JZq6B2jtxGVvmausM9Xed,37,Akira Kosemura,0.249,0.297,0.0375,0.855,0.886,140.052,-15.377,0.0349,0.0667,4
18889,Equipoise,https://open.spotify.com/embed/track/0Ij8KeRUVRRAOjJceqt6FF,spotify:track:0Ij8KeRUVRRAOjJceqt6FF,45,September Meredyth,0.423,0.0126,0.233,0.993,0.937,88.781,-28.23,0.0325,0.0961,4
18891,Orbit,https://open.spotify.com/embed/track/0n8IZnobhLxdjk02TtAnQj,spotify:track:0n8IZnobhLxdjk02TtAnQj,51,Amel Scott,0.175,0.0108,0.0742,0.992,0.484,143.693,-35.572,0.0529,0.112,4
18894,weatherlight,https://open.spotify.com/embed/track/0pcf1rZgUG5lb6WBwbzX56,spotify:track:0pcf1rZgUG5lb6WBwbzX56,44,DRWN.,0.456,0.365,0.593,0.813,0.674,237.488,-10.675,0.587,0.0933,4
18896,I Belong Here,https://open.spotify.com/embed/track/1sJlo3mVGO7kcbEJRKfeKy,spotify:track:1sJlo3mVGO7kcbEJRKfeKy,53,Aaron Robichaux,0.515,0.0306,0.364,0.996,0.952,62.057,-34.997,0.0662,0.092,4
